Name,Item,Date
GeauxDeep,"1,200 Gold | Pile of Gold",8/9/22
Haakonar,500 Gold | Handful of Gold,8/9/22
Haakonar,500 Gold | Handful of Gold,8/9/22
ImTryinq,"6,500 Gold | Large Stack of Gold",8/9/22
Jamesbaird87,Gladiator KitPvP,8/9/22
Kechbatron,€10 Gift Card,8/9/22
knakwoosj,Creator -> Architect Creative,8/9/22
KT_798,Quickdropper Tag Practice,8/9/22
KT_798,Knight Survival,8/9/22
KT_798,Iron Minigames,8/9/22
Nana_gaming,Diamond Minigames,8/9/22
NinjaLeNoir,BlackHat -> Lunatic Prison,8/9/22
tvojakevs,Iron Minigames,8/9/22
Zemfeir,VIP Immortal,8/9/22
ZK5c,500 Gold | Handful of Gold,8/9/22
AtolPrime,Iron Minigames,8/10/22
Djim,"4,250 Gold | Stack of Gold",8/10/22
fshygetsf1re,"2,500 Gold | Stack of Gold",8/10/22
fshygetsf1re,500 Gold | Handful of Gold,8/10/22
H0LDOA,80 Gold | Bit of Gold,8/10/22
kylerichhh,"14,000 Gold | Chest of Gold",8/10/22
naranbaatr,Crystal 30 Days Minigames,8/10/22
nobtc,"14,000 Gold | Chest of Gold",8/10/22
Syntaxe,"4,250 Gold | Stack of Gold",8/10/22
Syntaxe,"1,200 Gold | Pile of Gold",8/10/22
Xerrainrin,Warrior -> Gladiator KitPvP,8/10/22
_ImAlox,80 Gold | Bit of Gold,8/11/22
BurkyxX,5x God Crate Key KitPvP,8/11/22
Fbz_StyleZ,"14,000 Gold | Chest of Gold",8/11/22
GR008Y,Crystal 30 Days Minigames,8/11/22
GR008Y,Gold -> Diamond Minigames,8/11/22
GR008Y,Gold Minigames,8/11/22
KT_798,Architect Creative,8/11/22
KT_798,GKit Crate Keys KitPvP,8/11/22
Linksmutis,"1,200 Gold | Pile of Gold",8/11/22
misterkfc,GKit Treasure Prison,8/11/22
naranbaatr,GKit Treasure Fantasy,8/11/22
NekelkPingo,Premium Level Pass Dream,8/11/22
nobtc,"1,200 Gold | Pile of Gold",8/11/22
Skamkliipt,80 Gold | Bit of Gold,8/11/22
Skov,1x Reaper Crate Key KitPvP,8/11/22
Syntaxe,"1,200 Gold | Pile of Gold",8/11/22
TheCreatore,Creator Creative,8/11/22
WeshPelow,Immortal KitPvP,8/11/22
C0ND4WG,"14,000 Gold | Chest of Gold",8/12/22
Dj_Mordexx,Iron Minigames,8/12/22
FadedCookie,GKit Brawler Prison,8/12/22
i_d_A_n,"2,500 Gold | Stack of Gold",8/12/22
i_d_A_n,500 Gold | Handful of Gold,8/12/22
IgnMeme,1x Reaper Crate Key KitPvP,8/12/22
IgnMeme,"1,200 Gold | Pile of Gold",8/12/22
IIDroppinqzII,"14,000 Gold | Chest of Gold",8/12/22
IIDroppinqzII,"14,000 Gold | Chest of Gold",8/12/22
iSixez,"2,500 Gold | Stack of Gold",8/12/22
Jxxl04,"6,500 Gold | Large Stack of Gold",8/12/22
Kova_plt,Criminal Prison,8/12/22
MemeGod42069,"2,500 Gold | Stack of Gold",8/12/22
MemeGod42069,1x Reaper Crate Key KitPvP,8/12/22
mlstyy,1x Reaper Crate Key KitPvP,8/12/22
mlstyy,Custom Gift Card,8/12/22
MVP_Gamer2909,€10 Gift Card,8/12/22
Myruto,"9,500 Gold | Large Stack of Gold",8/12/22
OneAtApril,1x Reaper Crate Key KitPvP,8/12/22
osshon,1x Reaper Crate Key KitPvP,8/12/22
Papuciarum,"4,250 Gold | Stack of Gold",8/12/22
purpleslurpz,"4,250 Gold | Stack of Gold",8/12/22
qqvq,"2,500 Gold | Stack of Gold",8/12/22
qqvq,1x Reaper Crate Key KitPvP,8/12/22
qqvq,"1,200 Gold | Pile of Gold",8/12/22
qqvq,"2,500 Gold | Stack of Gold",8/12/22
qqvq,1x Reaper Crate Key KitPvP,8/12/22
skradloW,Warrior KitPvP,8/12/22
Swervinng,Gold -> Diamond Minigames,8/12/22
Syntaxe,500 Gold | Handful of Gold,8/12/22
Syntaxe,"1,200 Gold | Pile of Gold",8/12/22
Tayuko,1x Reaper Crate Key KitPvP,8/12/22
Tayuko,1x Reaper Crate Key KitPvP,8/12/22
Tayuko,"2,500 Gold | Stack of Gold",8/12/22
UpperGround,Iron -> Gold Minigames,8/12/22
WateryOtter,5x God Crate Key Dream,8/12/22
xHasey,Gladiator KitPvP,8/12/22
bene_e,Hero -> Mythic Practice,8/13/22
CallMeMrReze,€50 Gift Card,8/13/22
erazer12,1x God Crate Key Prison,8/13/22
ExDenis,Thug Prison,8/13/22
Flashh,Iron Minigames,8/13/22
Flexier,x2 Global Booster Minigames,8/13/22
FuzniX,x2 Global Booster Minigames,8/13/22
GeauxDeep,"1,200 Gold | Pile of Gold",8/13/22
Haakonar,500 Gold | Handful of Gold,8/13/22
IIDroppinqzII,"6,500 Gold | Large Stack of Gold",8/13/22
ItzSimoYT,"1,200 Gold | Pile of Gold",8/13/22
Kova_plt,Criminal -> BlackHat Prison,8/13/22
Kova_plt,BlackHat -> Lunatic Prison,8/13/22
Kova_plt,Lunatic -> Murderer Prison,8/13/22
Kova_plt,€10 Gift Card,8/13/22
Kova_plt,500 Gold | Handful of Gold,8/13/22
lifenotfound1,Elite Immortal,8/13/22
Maki17,Iron Minigames,8/13/22
MCMB123,Warrior KitPvP,8/13/22
mlstyy,80 Gold | Bit of Gold,8/13/22
Papuciarum,Elite -> Champion Immortal,8/13/22
Papuciarum,Champion Immortal,8/13/22
purpleslurpz,"4,250 Gold | Stack of Gold",8/13/22
S3pq,BlackHat Prison,8/13/22
S3pq,SkyWarrior Fantasy,8/13/22
SungLao,Elite -> Champion Immortal,8/13/22
SungLao,Premium Immortal,8/13/22
Xerrainrin,Gold -> Diamond Minigames,8/13/22
Zysie,SkyVIP -> SkyWarrior Dream,8/13/22
050k,Premium Level Pass KitPvP,8/14/22
CallMeMrReze,"2,500 Gold | Stack of Gold",8/14/22
CallMeMrReze,"1,200 Gold | Pile of Gold",8/14/22
CheezyLegend,5x God Crate Key Prison,8/14/22
DigitalTOXIC,1x God Crate Key Prison,8/14/22
i_d_A_n,"2,500 Gold | Stack of Gold",8/14/22
iamabirdxx,10x Museum Crate Key (+2 BONUS) Prison,8/14/22
ImTryinq,"4,250 Gold | Stack of Gold",8/14/22
Kova_plt,€10 Gift Card,8/14/22
lifenotfound1,Vibe Tag Immortal,8/14/22
Mikkypiki,Diamond Minigames,8/14/22
Mikkypiki,Crystal 30 Days Minigames,8/14/22
mlstyy,Custom Gift Card,8/14/22
nopcancer,Criminal Prison,8/14/22
Papuciarum,"2,500 Gold | Stack of Gold",8/14/22
rvthles,Iron Minigames,8/14/22
SkyPrestige,"1,200 Gold | Pile of Gold",8/14/22
Swervinng,Hero Practice,8/14/22
Tayuko,"2,500 Gold | Stack of Gold",8/14/22
TheDarkChimera,GKit Crate Keys Prison,8/14/22
Unknown_gamimg,"2,500 Gold | Stack of Gold",8/14/22
Wlixy,Hero KitPvP,8/14/22
YaBoiBet,Creator Creative,8/14/22
ALEKS213,Iron Minigames,8/15/22
bridgeisminenow,Hero Practice,8/15/22
CallMeMrReze,"6,500 Gold | Large Stack of Gold",8/15/22
